Pathways	Reactions of pathway
PWY-6091	RXN-9880 // RXN-9877
PWY-5958	ANTHRANSYN-RXN // RXN-9504 // 2.3.1.159-RXN // ANTHRANILATE-N-METHYLTRANSFERASE-RXN
PWY-6029	RXN-1481 // RXN-1484 // RXN-9720
PWY-7736	RXN-17164 // RXN-17163 // RXN-17162 // RXN-17161 // RXN-8813 // FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN // GPPSYN-RXN
PWY-4621-1	RXN-22326 // RXN-22385 // TRANS-RXN0-550 // RXN-982
PWY-3581	TYROSINE-AMINOTRANSFERASE-RXN // 4.1.1.80-RXN // RXN-9978 // RXN-5861 // 2.1.1.116-RXN // 1.14.13.71-RXN // 2.1.1.140-RXN // 2.1.1.128-RXN // S-NORLAUDANOSOLINE-SYNTHASE-RXN // RXN66-221 // TYROSINE-DECARBOXYLASE-RXN
TRPKYNCAT-PWY	INDOLELACTATE-DEHYDROGENASE-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN
PWY-6103	RXN-9907 // RXN-9906
PWY-7138	RXN-19906 // RXN-19905 // RETICULINE-OXIDASE-RXN // 2.1.1.117-RXN // 1.1.3.36-RXN // RXN-13806 // RXN-13812 // RXN-13811 // RXN-13810 // RXN-13807 // RXN-13808 // RXN-13809
PWY-8125	RXN-21277 // RXN-21278 // RXN-10068 // IPPISOM-RXN // MEVALONATE-KINASE-RXN // 1.1.1.34-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-3	RXN-8 // AMINOBUTDEHYDROG-RXN
PWY-8287	RXN-22230 // RXN-22231 // RXN-22229
PWY-6558	RXN-11557 // RXN-11558 // RXN-11563 // RXN-11562 // 2.8.2.23-RXN // 2.8.2.29-RXN // 2.8.2.30-RXN // 5.1.3.17-RXN // HEPARITIN-SULFOTRANSFERASE-RXN // 2.4.1.224-RXN // 2.4.1.223-RXN // 2.4.1.225-RXN
PWY-6801	RXN-18671 // RXN-18670 // RXN-18669 // RXN-18668 // RXN-18667 // RXN-6724 // RXN-12362
PWY-8284-1	RXN2G6Z-3 // RXN2G6Z-2
PWY-5037	RXN-7599 // RXN-7598 // RXN-7597 // RXN-7596
PWY-8038	RXN-20309 // RXN-20308 // RXN-20307 // RXN-20306 // RXN-20303 // RXN-20297 // RXN-20304 // RXN-20305
PWY-7931	RXN-19096 // RXN-19095 // RXN-19094 // RXN-19074 // RXN-19073 // RXN-19071 // RXN-19069
PWY-5768	RXN0-3962 // RXN-6161
P203-PWY	R164-RXN
PWY-7177	RXN-12200 // RXN-12199 // CTPSYN-RXN
PWY-8497	RXN-24373 // RXN-24372
PWY-5437	RXN-15121 // RXN-15123 // RXN-15122 // PROPKIN-RXN // PTAALT-RXN // KETOBUTFORMLY-RXN
PWY-6181	RXN-10089 // RXN-9600 // HISTAMINE-N-METHYLTRANSFERASE-RXN
GALACT-GLUCUROCAT-PWY	RXN-14693 // BETA-GLUCURONID-RXN // GLUCUROISOM-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN // KDPGALDOL-RXN // GALACTUROISOM-RXN // ALTRO-OXIDOREDUCT-RXN // DEOXYGLUCONOKIN-RXN // ALTRODEHYDRAT-RXN
PWY-6258	RXN-13522 // RXN-10603 // RXN-10602 // RXN-10601 // RXN-10600
PWY-6896	THI-P-KIN-RXN // THIKIN-RXN
HYDROXYPRODEG-PWY	RXN66-545 // RXN-14472 // RXN-14471 // 4OH2OXOGLUTARALDOL-RXN // 4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN
PWY-7673	RXN-16744 // RXN-16743 // RXN-16742 // RXN-16741 // RXN-16740 // RXN-16739 // RXN-16738
PWY-6666	RXN-11898 // RXN-11897
PWY-8380	RXN-23240 // RXN-23239 // RXN-23238 // DTDPDEHYDRHAMEPIM-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN
PWY-7529	RXN-15655 // RXN-15654 // RXN-15653 // RXN-15652
PWY-6756	5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN
PWY-7934	CHORPYRLY-RXN // 4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN // RXN-19117 // RXN-19116 // RXN-19115 // RXN-19118 // RXN-19113 // RXN-19112
PWY-3301	2.3.1.103-RXN // SINAPINE-ESTERASE-RXN // 2.3.1.92-RXN // 2.3.1.91-RXN // SINAPATE-1-GLUCOSYLTRANSFERASE-RXN
PWY-7179-1	ADDALT-RXN // DEOXYGUANPHOSPHOR-RXN // DEOXYINOPHOSPHOR-RXN
PWY2O6K-4	RXN0-3501 // RXN0-7123
PWY-7156	CYCLOARTENOL-SYNTHASE-RXN // RXN-20446 // RXN-20445 // RXN-20414 // RXN-20412 // RXN-20411 // RXN-13884 // RXN-13882 // RXN-13883 // RXN-13881 // RXN-13879 // 2.1.1.142-RXN // RXN-24044 // RXN-24043 // RXN-15878 // IPPISOM-RXN // RXN0-302 // 2.7.1.148-RXN // 2.7.7.60-RXN // DXPREDISOM-RXN // DXS-RXN // FPPSYN-RXN // GPPSYN-RXN // RXN66-281 // RXN-12263 // SQUALENE-MONOOXYGENASE-RXN
PWY-3121	RXN-5341 // ACETONE-CYANHYDRIN-LYASE-RXN
PWY-6442	RXN-11263 // RXN-11262 // RXN-11261 // RXN-11260 // RXN-11259 // RXN-11258 // RXN-11257
PWY-741	RXN-663 // RXN-662 // RXN-661
PWY-8395	RXN-23519 // RXN-23466 // RXN-23465 // RXN-23464 // RXN-23463 // RXN-8495 // RXN-23461 // RXN-23460 // RXN-23462 // LIPOXYGENASE-RXN // RXN-12134 // RXN-22220 // RXN-22222 // RXN-22221
PWY-7512	RXN-20730 // RXN-20729 // RXN-20728 // RXN-20727 // RXN-20726 // RXN-15576
PWY-6163	3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN
PWY-7024	CITRAMALYL-COA-LYASE-RXN // RXN-13230 // RXN-8965 // RXN-8960 // RXN-8961 // RXN0-5224 // BIOTIN-CARBOXYL-RXN // RXN0-5055 // RXN-9086 // RXN-9087 // RXN-6383 // MALYL-COA-LYASE-RXN // RXN-8964 // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // PROPIONYL-COA-CARBOXY-RXN // RXN-8974 // RXN-8963
PWY-5405	RXN-8625 // RXN-8624 // RXN-8623 // RXN-8567 // RXN6666-7 // RXN-8486 // RXN66-221 // RXN-8490 // RXN-8489 // RXN-8491 // RXN-8488 // RXN-8487 // RXN-8493 // RXN-8492 // RXN-8485 // RXN-8484 // RXN-13061 // RXN-5861 // RXN-8482 // RXN-8481 // RXN-8480 // RXN-8479 // RXN-8478 // RXN-8483 // TYROSINE-3-MONOOXYGENASE-RXN // RXN-8461 // RXN-8460
PWY-7887	RXN-18694 // RXN-18692 // RXN-18690 // RXN-18689 // RXN-18691 // RXN-18693
PWY-8515	RXN-24504 // RXN-24505 // RXN-24503 // RXN-24502 // RXN-24501 // RXN-24500
PWY-6509	RXN-11451
PWY-8037	RXN-20300 // RXN-20301 // RXN-20299 // RXN-20298
PWY-861	RXN-18144 // 1.14.13.42-RXN // RXN-12240 // RXN-7749 // RXN-7748 // RXN-743 // TYROSINE-N-MONOOXYGENASE-RXN
PWY-2541	RXN-20132 // RXN-22207 // RXN-20131 // RXN-19723 // RXN-19724 // 1.14.13.70-RXN // RXN-19720 // RXN3O-218 // RXN-11939 // RXN-11938 // RXN-11934 // RXN-11933 // RXN-11929 // RXN-11928 // RXN-8352 // 2.1.1.143-RXN // RXN-4243 // RXN-4242 // RXN-4210 // RXN-4209 // RXN-707 // RXN-4161 // RXN-4144 // CYCLOEUCALENOL-CYCLOISOMERASE-RXN // RXN-4021
PWY-5199	RXN-8081 // RXN-8080
PWY-6041	MALEYLACETATE-REDUCTASE-RXN // RXN-9733 // RXN-9732 // RXN-9731
PWY-7058	RXN-14182 // RXN-13475 // RXN-13474 // RXN-13473 // RXN-13472 // RXN-13471 // RXN-13470
PWY-8354	RXN-3641 // RXN0-2044 // RXN-2425 // RXN-22997 // RXN-22974
PWY-7544	RXN0-5268 // RXN-11496
PWY-7137	RXN1F-462 // RXN-13799 // RXN-13798 // RXN-13797
PWY-5286	RXN-8178 // RXN-8177 // RXN-8176
PWY-6433	RXN-16158 // RXN-16157 // RXN-16156 // RXN-16155 // RXN-16154 // RXN-16153 // RXN-16152 // RXN-16151 // RXN-16150 // RXN-16149 // RXN-16148 // RXN-9670 // RXN-14491 // RXN-14495 // RXN-14494 // RXN-14493 // RXN-14492 // RXN-14488 // RXN-14486 // RXN-14485 // RXN-14484 // RXN-13322
PWY-7923	RXN-19021 // RXN-12144
PWY-5025	RXNN-404 // RXN-7567
PWY-6094	RXN-18362 // RXN-18363 // RXN-17093 // RXN-9891 // RXN-9890 // RXN-9889 // RXN-9888 // RXN-9885 // MALEYLACETATE-REDUCTASE-RXN
PWY-6839	2.6.1.37-RXN // 4.1.1.82-RXN // PHOSPHOENOLPYRUVATE-MUTASE-RXN
PWY-7306	RXN66-347 // RXN66-348 // RXN66-349
PWY18C3-11	RXN18C3-41 // RXN18C3-40 // RXN18C3-37 // RXN18C3-36
ASPARTATE-DEG1-PWY	ASPAMINOTRANS-RXN
PWY1G-126	1.8.1.15-RXN // RXN1G-6
PWY0-1298	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // D-PPENTOMUT-RXN // THYM-PHOSPH-RXN // URA-PHOSPH-RXN // CYTIDEAM-RXN
PHOTOALL-PWY	RIB5PISOM-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // 2TRANSKETO-RXN // 1TRANSKETO-RXN // F16BDEPHOS-RXN // SEDOBISALDOL-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // 1.2.1.13-RXN // PHOSGLYPHOS-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN
PWY-7080	RXN-13554 // 1.10.3.8-RXN // 1.10.3.7-RXN
PWY0-1565	RXN0-5268 // DLACTDEHYDROGFAD-RXN
PWY-5945	RXN-7979 // RXN-7984 // RXN-7978 // RXN-7985
PWY-8211	RXN-22099 // TRANS-RXN-444 // RXN-14558 // RXN-22096 // RXN-22097 // RXN-22098 // GLCNACPTRANS-RXN
PWY-8442	RXN-23785 // RXN-23784
PWY2B4Q-4	RXN2B4Q-53 // RXN2B4Q-52 // RXN2B4Q-51 // RXN2B4Q-50 // RXN2B4Q-49 // RXN2B4Q-48
FUCCAT-PWY	RXN0-5298 // FUCISOM-RXN // FUCULOKIN-RXN // FUCPALDOL-RXN
DARABITOLUTIL-PWY	XYLULOKIN-RXN // D-ARABINITOL-4-DEHYDROGENASE-RXN
PLPSAL-PWY	PYRIDOXINE-4-DEHYDROGENASE-RXN // PYRIDOXKIN-RXN // PMPOXI-RXN // PNPOXI-RXN // PYRAMKIN-RXN // PNKIN-RXN
PWY-7097	1.2.1.67-RXN // RXN-2
PWY-8071	SERINE-O-ACETTRAN-RXN // 2.3.1.58-RXN // RXN-20759 // RXN-15245
PWY-8077	RXN-20906 // RXN-20798 // RXN-14181
PWY-5431	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN // 5.5.1.2-RXN // PROTOCATECHUATE-34-DIOXYGENASE-RXN // RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN // 3-OXOADIPATE-ENOL-LACTONASE-RXN // MUCONOLACTONE-DELTA-ISOMERASE-RXN // MUCONATE-CYCLOISOMERASE-RXN // CATECHOL-12-DIOXYGENASE-RXN
PWY-5113	RXN-7770
ARGDEG-III-PWY	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN // AGMATINE-DEIMINASE-RXN // ARGDECARBOX-RXN
PWY-5726	R464-RXN // R465-RXN
LYXMET-PWY	RIBULPEPIM-RXN // LXULRU5P-RXN // LYXK-RXN // LYXISOM-RXN
PWY-8464	RXN-24021 // RXN-24022 // RXN-24023 // RXN-24024 // RXN-24025 // RXN-24026 // RXN-24027
PWY-5156	RXN-16393 // RXN-9623 // RXN-9655 // 3.1.2.21-RXN // RXN-9549 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN-9535 // RXN-9661 // RXN-9533 // RXN-9532 // RXN-9531 // RXN-9660 // RXN-9528 // RXN-9527 // 4.2.1.59-RXN // RXN-9659 // RXN-9524 // RXN-9523 // 4.2.1.58-RXN // RXN-9514 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9657 // RXN-16380 // RXN-9548 // RXN-9635 // RXN-9634 // RXN-9633 // RXN-9632 // RXN-9644 // 3.1.2.14-RXN // RXN-7903 // RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN
PWY-5654	3.5.99.5-RXN // 4.1.1.77-RXN // 1.2.1.32-RXN // AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
PWY-5129	RXN-7792 // RXN-14250 // RXN-11341 // SPHINGANINE-KINASE-RXN // RXN-7801 // RXN-7799 // RXN-7798 // RXN-7796 // RXN-7795 // RXN-7793 // RXN3O-1380 // SERINE-C-PALMITOYLTRANSFERASE-RXN // 3-DEHYDROSPHINGANINE-REDUCTASE-RXN
PWY-8294	GLUTAMINESYN-RXN // ASPARTASE-RXN // TRANS-RXN-106A
PWY-6532	RXN-11506
PYRIDNUCSYN-PWY	L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PWY-5659	PGLUCISOM-RXN // 2.7.7.13-RXN // PHOSMANMUT-RXN // MANNPISOM-RXN
PWY-6470	RXN-22556 // RXN-11349 // RXN-11348 // RXN-11343 // RXN-11344 // RXN-11345 // RXN-11346 // RXN-11347 // 3.4.17.14-RXN // 6.3.2.10-RXN // 6.3.2.7-RXN // DALADALALIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
PWY-881	TREHALOSEPHOSPHA-RXN // RXN-761
PWY-4221	2.6.1.18-RXN // PROPCOASYN-RXN // 3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN // RXN-6384 // RXN-6383 // PROPIONATE--COA-LIGASE-RXN // PANTOTHENATE-KIN-RXN // 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN // 2-DEHYDROPANTOATE-REDUCT-RXN // PANTOATE-BETA-ALANINE-LIG-RXN // RXN66-555 // P-PANTOCYSDECARB-RXN // DEPHOSPHOCOAKIN-RXN // PANTEPADENYLYLTRAN-RXN
PWY-5194	RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // SIROHEME-FERROCHELAT-RXN // DIMETHUROPORDEHYDROG-RXN
ETOH-ACETYLCOA-ANA-PWY	ACETALD-DEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN
PUTDEG-PWY	PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN
PWY-6257	RXN-10599 // RXN-10598 // RXN-10597
PWY-5940	PHOSPHOGLUCMUT-RXN // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-11099 // RXN-11098 // 2.6.1.56-RXN // RXN-11097 // 3.1.3.40-RXN // STREPTOMYCIN-6-KINASE-RXN // 2.7.7.33-RXN // RXN-9469 // RXN-9467 // STREPTOMYCIN-6-PHOSPHATASE-RXN // RXN-9471 // RXN-9470 // 2.4.2.27-RXN // 2.1.4.2-RXN // SCYLLO-INOSAMINE-KINASE-RXN // 2.6.1.50-RXN
PWY-6748	TRANS-RXN0-239 // RXN-11236 // RXN-12129 // RXN-12130 // NITRITE-REDUCTASE-CYTOCHROME-RXN
PWY-7928	RXN-19042 // RXN-19049 // RXN-19048 // RXN-19047 // RXN-19045 // RXN-19044 // RXN-19043 // RXN-19051
PWY-5662	RXN-12038 // RXN-8852
PWY-7151	RXN-13878 // RXN-13877 // RXN-13875 // RXN-13874 // RXN-13855 // RXN-13851 // RXN-13850 // RXN-13849 // RXN-13848 // RXN-13847 // RXN-13843 // RXN-13842 // RXN-9817 // RXN-9815 // 2.1.1.84-RXN // RXN-13839
P482-PWY	1.20.99.1-RXN // R425-RXN
PWY-5316	RXN-8444 // L-ASPARTATE-OXID-RXN // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // RXN-13060 // RXN-13059 // RXN-13058 // RXN-13057 // RXN-8248
PWY-8267	RXN-21023
PWY-5049	RXN-7633 // RXN-7632 // 2.6.1.49-RXN // TYROSINE-3-MONOOXYGENASE-RXN
PWY-5177	RXN-11667 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	RXN-16394 // RXN-13888 // RXN-13887 // RXN-13886 // RXN-13885
PWY-4081	GLUTATHIONE-REDUCT-NADPH-RXN // 1.11.1.12-RXN // GLUTATHIONE-PEROXIDASE-RXN
PWY-7718	RXN-17076 // RXN-17075 // RXN-17074 // RXN-17073 // RXN-17067
PWY-8519	GEISSOSCHIZINE-DEHYDROGENASE-RXN // RXN-19979 // RXN-8223 // STRICTOSIDINE-BETA-GLUCOSIDASE-RXN
PWY-7710	RXN-17060 // RXN-17059 // HOMOCITRATE-SYNTHASE-RXN // RXN-17027 // RXN-17026 // RXN-17025
PWY-5373	RXN-8411
PWY-7248	RXN-2102 // RXN-14753 // GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN // RXN-14362 // GALACTUROISOM-RXN
PWY-6603	RXN-8347 // RXN-11680 // RXN-11681 // RXN-11682
PWY-7972	RXN-19343 // RXN-19338 // RXN-19342 // R346-RXN // RXN-6261 // COBINPGUANYLYLTRANS-RXN
PWY-7969	RXN-19299 // RXN-19303 // RXN-19320
PWY-8342	RXN-22912 // P-PANTOCYSLIG-RXN // P-PANTOCYSDECARB-RXN // PANTEPADENYLYLTRAN-RXN
PWY-8337	TRANS-RXN-497 // RXN-22880 // RXN-22879 // RXN-22878
PWY-5425	RXN-8550 // RXN-8572 // RXN-8540 // RXN-8541 // RXN-8414 // RXN-8566
PWY-8172	RXN-21608 // RXN-21609
PWY-7856	RXN-18431 // RXN-18430 // RXN-18428 // HEMEOSYN-RXN
PWY-5523	RXN-8771 // FMNREDUCT-RXN // RIBOFLAVINKIN-RXN
GLYCOGENSYNTH-PWY	PHOSPHOGLUCMUT-RXN // GLUC1PADENYLTRANS-RXN // GLYCOGEN-BRANCH-RXN // GLYCOGENSYN-RXN
PWY-8092	RXN-20936 // RXN-20934 // RXN-20933
PWY-5039	RXN-7598 // RXN-7597 // RXN-7596
PWY-3841	THYMIDYLATESYN-RXN // GLYOHMETRANS-RXN // METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // GCVMULTI-RXN // HOMOCYSMETB12-RXN // RXN-22438 // 5-FORMYL-THF-CYCLO-LIGASE-RXN // RXN-6321 // DIHYDROFOLATEREDUCT-RXN
ALLANTOINDEG-PWY	RXN0-5222 // RXN-20065 // UREA-CARBOXYLASE-RXN // ALLANTOICASE-RXN // ALLANTOINASE-RXN // UREIDOGLYCOLATE-LYASE-RXN
PWY-8270	RXN-22408 // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN
PWY-6760	RXN-19753 // RXN-21503 // 25-DIOXOVALERATE-DEHYDROGENASE-RXN // RXN-8777 // XYLONATE-DEHYDRATASE-RXN
PWY-8480	FHLMULTI-RXN // 1.5.1.15-RXN // PHOSACETYLTRANS-RXN // ACETATEKIN-RXN // 1.2.7.4-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN // RXN-22438 // ACETYLSYNCLTH-RXN // METHCOCLTH-RXN
PWY-5950	RXN-8648 // RXN-9475 // RXN-9476
PWY-5169	RXN-20062 // RXN-20066 // RXN0-5222 // RXN-20065 // RXN-8930
PWY-6084	RXN-18362 // RXN-16227 // MALEYLACETATE-REDUCTASE-RXN // CHLOROMALERED-RXN // 5.2.1.10-RXN // RXN-9856 // RXN-9857 // RXN-9855
PWY-6326	RXN-19633 // RXN-14036 // RXN-14031 // RXN-14030 // RXN-10859
PWY-5934	RXN-14960 // TRANS-RXN-171 // FERRIC-CHELATE-REDUCTASE-RXN
PWY-7962	R344-RXN // R343-RXN // RXN-19344 // RXN-6261 // COBINPGUANYLYLTRANS-RXN // R345-RXN
PWY-6767	RXN-12263 // RXN-12260 // RXN-12258 // RXN-9305 // RXN-9304 // RXN-9303 // RXN-12225 // RXN-12223 // RXN-9301
PWY-7152	RXN-13857 // RXN-13858
GLUTSYNIII-PWY	GLUTDEHYD-RXN
PWY66-420	CARNOSINE-SYNTHASE-RXN
PWY-8195	RXN-22033 // TRANS-RXN-433 // RXN-21851 // 2.7.8.6-RXN // RXN-21843 // RXN-21844
PWY-5464	RXN-14971 // MALATE-DEH-RXN // ISOCITRATE-DEHYDROGENASE-NAD+-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // 1.2.1.9-RXN // PEPDEPHOS-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // 2.7.1.90-RXN // 6PFRUCTPHOS-RXN // RXN0-1134 // RXN0-1132 // RXN0-1133
PWY-5411	RXN-10624 // RXN-8510 // RXN-8509 // RXN-8508 // RXN-8507 // 4.2.3.18-RXN // RXN-4861
PWY0-1527	RXN0-6677 // RXN0-6676
PWY-6529	1.13.11.49-RXN // 1.97.1.1-RXN
PWY-7522	RXN-15641 // RXN-15640
P321-PWY	RXN-8032 // 1.1.1.259-RXN // RXN-8031 // 1.3.1.62-RXN // 1.3.99.15-RXN // R268-RXN // R267-RXN // R266-RXN // R265-RXN
PWY-5419	RXN-8527 // RXN-8529 // 4.1.1.77-RXN // CATECHOL-23-DIOXYGENASE-RXN
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4.1.1.68-RXN // HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN // SUCCSEMIALDDEHYDROG-RXN // 4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN // 5.3.3.10-RXN // CHMS-DEHYDROGENASE-RXN // 1.13.11.15-RXN // RXN-8505
PWY-7638	RXN-16455 // RXN-8026 // RXN-8025 // RXN-16449
PWY-6908	THIAMIN-PYROPHOSPHOKINASE-RXN // RXNQT-4191 // THI-P-SYN-RXN
PWY-7686	1.1.1.39-RXN
PWY-6687	RXN-12040 // RXN-12028
PWY3O-450	RXN-5781 // 2.7.7.15-RXN // CHOLINE-KINASE-RXN
PWY-6594	ACETOACETYL-COA-TRANSFER-RXN // 2.8.3.9-RXN // ACETOACETATE-DECARBOXYLASE-RXN // ALCOHOL-DEHYDROG-RXN // ACETALD-DEHYDROG-RXN // RXN-16834 // RXN-11667 // PYRUFLAVREDUCT-RXN // RXN-11662 // ENZRXN-201-RXN // RXN-161 // BUTANAL-DEHYDROGENASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7304	RXN-14548 // RXN-14665 // RXN-14664 // RXN-14663 // RXN-14666
PWY-5335	SULFITE-DEHYDROGENASE-RXN // R17-RXN // RXN-20884 // RXN-16574 // FESGSHTHIO-RXN
PWY-7691	RXN-16880 // RXN-16881
NADPHOS-DEPHOS-PWY-1	TRANS-RXN0-277 // NAD-KIN-RXN
PWY-8151	RXN-12745 // RXN-12744 // RXN-12743 // RXN-21475 // RXN-21474 // RXN-21472 // RXN-12708 // RXN-12707 // RXN-21471 // RXN-21470 // RXN-21469 // RXN-12704 // RXN-12703 // RXN-17645 // RXN-17650 // TRANS-RXN-406 // RXN-21459 // RXN-21458 // RXN-21457 // RXN-21430 // RXN-12694 // RXN-12693
CARNMET-PWY	TRANS-RXN-100 // CARNDETRU-RXN // LCARNCOALIG-RXN // RXN0-3601 // CROBETREDUCT-RXN
PWY-8345	RXN-22951 // RXN-22950 // RXN-22944 // RXN-22945 // RXN-22943 // RXN-22946 // RXN-22949 // RXN-22948 // RXN-22947 // RXN-19068 // RXN-17146
PWY-6323	ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN
PWY-5755	CHORPYRLY-RXN
PWY-6010	RXN-13800 // RXN-5021 // FLAVONE-APIOSYLTRANSFERASE-RXN // RXN-9699 // RXN-9700
PWY-5080	RXN-11750 // RXN-7711 // RXN-7698 // RXN-7697
PWY-7698	RXN-16948 // RXN-16947 // RXN-16949 // RXN-16955 // RXN-16953 // RXN-16951 // R-2-METHYLMALATE-DEHYDRATASE-RXN // RXN-16946 // RXN-16945 // RXN-16950 // RXN-16956 // RXN-16954 // RXN-16952
PWY-7076	RXN-9018 // RXN-9017
PWY-2601	RXN-4261
PWY-5097	RXN-14014 // DIAMINOPIMDECARB-RXN // DIAMINOPIMEPIM-RXN // RXN-7737 // DIHYDRODIPICSYN-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY-6466	RXN-11322
PWY-6555	2.7.1.140-RXN // 2.7.1.133-RXN // 2.7.1.139-RXN // RXN-7184 // 2.7.1.127-RXN // 2.7.1.151-RXN // RXN-7162 // RXN-7163
PWY-5537	PYRUVDEH-RXN // SUCCCOASYN-RXN // RXN-8807
PWY-7900	RXN-18777 // RXN-761 // TREHALOSEPHOSPHA-RXN // 5.4.99.16-RXN // RXN-12960 // RXN-13028 // RXN-18305 // PHOSPHOGLUCMUT-RXN
PWY5F9-3233	34-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN // RXN5F9-56 // RXN-11679
PWY-8499	RXN-24393 // RXN-24394 // RXN-24391 // RXN-24392
PWY-3641	1.1.1.39-RXN // RXN-6002 // RXN-5921
DTDPRHAMSYN-PWY	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN
PWY-5337	2.4.1.67-RXN // 2.4.1.82-RXN // 2.4.1.123-RXN
PWY-6941	RXN-12764 // RXN-12765 // PHENDEHYD-RXN
PWY0-1391	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN
PWY-7911	RXN-18831 // RXN-18828 // RXN-18829 // RXN-13761 // RXN-18830
PWY-6111	RXN-21778 // TRANS-RXN-177 // RXN-9918
PWY-6907	THIAMIN-PYROPHOSPHOKINASE-RXN // RXNQT-4191 // RXN-12610
PWY-7741	RXN-18544 // RXN-17266 // RXN-17265 // RXN-17228 // RXN-17225 // RXN-17231 // RXN-17222 // RXN-17216
PWY-5162	ACETALD-DEHYDROG-RXN // MHPELY-RXN // 2-OXOPENT-4-ENOATE-HYDRATASE-RXN
